Accelerometer Data: X=0.001g, Y=-1.006g, Z=-0.109g
Accelerometer Data: X=-0.004g, Y=-1.006g, Z=-0.108g
Accelerometer Data: X=-0.002g, Y=-1.008g, Z=-0.108g
Accelerometer Data: X=-0.004g, Y=-1.008g, Z=-0.106g
Accelerometer Data: X=-0.002g, Y=-1.008g, Z=-0.108g
Accelerometer Data: X=-0.003g, Y=-1.005g, Z=-0.104g
Accelerometer Data: X=-0.006g, Y=-1.009g, Z=-0.109g
Accelerometer Data: X=-0.003g, Y=-1.009g, Z=-0.113g
Accelerometer Data: X=-0.004g, Y=-1.004g, Z=-0.105g
Accelerometer Data: X=-0.003g, Y=-1.003g, Z=-0.109g
Accelerometer Data: X=-0.005g, Y=-1.003g, Z=-0.104g
Accelerometer Data: X=-0.000g, Y=-1.009g, Z=-0.113g
Accelerometer Data: X=-0.001g, Y=-1.005g, Z=-0.112g
Accelerometer Data: X=-0.006g, Y=-1.003g, Z=-0.102g
Accelerometer Data: X=-0.002g, Y=-1.007g, Z=-0.108g
Accelerometer Data: X=0.005g, Y=-1.014g, Z=-0.106g
Accelerometer Data: X=-0.006g, Y=-1.011g, Z=-0.108g
Accelerometer Data: X=0.005g, Y=-1.009g, Z=-0.108g
Accelerometer Data: X=-0.010g, Y=-1.006g, Z=-0.103g
Accelerometer Data: X=-0.004g, Y=-1.007g, Z=-0.112g
Accelerometer Data: X=0.003g, Y=-1.012g, Z=-0.105g
Accelerometer Data: X=-0.003g, Y=-1.010g, Z=-0.112g
Accelerometer Data: X=-0.009g, Y=-1.003g, Z=-0.101g
Accelerometer Data: X=-0.003g, Y=-1.000g, Z=-0.108g
Accelerometer Data: X=-0.000g, Y=-1.005g, Z=-0.106g
Accelerometer Data: X=0.003g, Y=-1.010g, Z=-0.109g
Accelerometer Data: X=-0.002g, Y=-1.006g, Z=-0.106g
Accelerometer Data: X=0.001g, Y=-1.012g, Z=-0.103g
Accelerometer Data: X=-0.003g, Y=-1.005g, Z=-0.108g
Accelerometer Data: X=0.001g, Y=-1.005g, Z=-0.102g
Accelerometer Data: X=-0.003g, Y=-1.007g, Z=-0.107g
Accelerometer Data: X=-0.004g, Y=-1.007g, Z=-0.107g
Accelerometer Data: X=-0.002g, Y=-1.007g, Z=-0.106g
Accelerometer Data: X=-0.002g, Y=-1.006g, Z=-0.111g
