0.000, 0.00mbar, 15882.49m

0.000, 0.00mbar, 15882.49m

1717904655.560, 997.63mbar, 20.02m

1717904655.664, 997.57mbar, 20.53m

1717904655.767, 997.53mbar, 20.86m

1717904655.869, 997.52mbar, 20.95m

1717904655.971, 997.49mbar, 21.20m

1717904656.073, 997.50mbar, 21.12m

1717904656.175, 997.50mbar, 21.12m

1717904656.277, 997.51mbar, 21.03m

1717904656.379, 997.52mbar, 20.95m

1717904656.481, 997.57mbar, 20.53m

1717904656.585, 997.57mbar, 20.53m

1717904656.688, 997.53mbar, 20.86m

1717904656.791, 997.59mbar, 20.36m

1717904656.895, 997.53mbar, 20.86m

1717904656.997, 997.53mbar, 20.86m

1717904657.100, 997.49mbar, 21.20m

1717904657.202, 997.51mbar, 21.03m

1717904657.308, 997.50mbar, 21.12m

1717904657.411, 997.55mbar, 20.69m

1717904657.515, 997.48mbar, 21.29m

1717904657.619, 997.50mbar, 21.12m

1717904657.722, 997.52mbar, 20.95m

1717904657.825, 997.50mbar, 21.12m

1717904657.929, 997.50mbar, 21.12m

1717904658.033, 997.57mbar, 20.53m

1717904658.137, 997.53mbar, 20.86m

1717904658.240, 997.52mbar, 20.95m

1717904658.344, 997.55mbar, 20.69m

1717904658.449, 997.57mbar, 20.53m

1717904658.554, 997.57mbar, 20.53m

1717904658.658, 997.57mbar, 20.53m

1717904658.762, 997.53mbar, 20.86m

1717904658.866, 997.50mbar, 21.12m

